x,y,z,Ground Truth
-0.039673,0.987305,-0.02832,lefSide
-0.039673,0.987305,-0.02832,lefSide
-0.039673,0.987305,-0.02832,lefSide
-0.039673,0.987305,-0.02832,lefSide
-0.036133,0.979858,-0.011353,lefSide
-0.036133,0.979858,-0.011353,lefSide
-0.036133,0.979858,-0.011353,lefSide
-0.036133,0.979858,-0.011353,lefSide
-0.036133,0.979858,-0.011353,lefSide
-0.036133,0.979858,-0.011353,lefSide
-0.036133,0.979858,-0.011353,lefSide
-0.036133,0.979858,-0.011353,lefSide
-0.036133,0.980713,-0.009888,lefSide
-0.036133,0.980713,-0.009888,lefSide
-0.036133,0.980713,-0.009888,lefSide
-0.036133,0.980713,-0.009888,lefSide
-0.036133,0.980713,-0.009888,lefSide
-0.036133,0.980713,-0.009888,lefSide
-0.036133,0.980713,-0.009888,lefSide
-0.039917,0.984009,-0.017822,lefSide
-0.039917,0.984009,-0.017822,lefSide
-0.039917,0.984009,-0.017822,lefSide
-0.039917,0.984009,-0.017822,lefSide
-0.039917,0.984009,-0.017822,lefSide
-0.039917,0.984009,-0.017822,lefSide
-0.039917,0.984009,-0.017822,lefSide
-0.039917,0.984009,-0.017822,lefSide
-0.042969,0.989014,-0.030762,lefSide
-0.042969,0.989014,-0.030762,lefSide
-0.042969,0.989014,-0.030762,lefSide
-0.042969,0.989014,-0.030762,lefSide
-0.042969,0.989014,-0.030762,lefSide
-0.042969,0.989014,-0.030762,lefSide
-0.042969,0.989014,-0.030762,lefSide
-0.042969,0.989014,-0.030762,lefSide
-0.04541,0.991455,-0.039795,lefSide
-0.04541,0.991455,-0.039795,lefSide
-0.04541,0.991455,-0.039795,lefSide
-0.04541,0.991455,-0.039795,lefSide
-0.04541,0.991455,-0.039795,lefSide
-0.04541,0.991455,-0.039795,lefSide
-0.04541,0.991455,-0.039795,lefSide
-0.045898,0.992798,-0.047363,lefSide
-0.045898,0.992798,-0.047363,lefSide
-0.045898,0.992798,-0.047363,lefSide
-0.045898,0.992798,-0.047363,lefSide
-0.045898,0.992798,-0.047363,lefSide
-0.045898,0.992798,-0.047363,lefSide
