x,y,z,Ground Truth
-0.003174,0.98584,-0.015991,rightSide
-0.003174,0.98584,-0.015991,rightSide
-0.003174,0.98584,-0.015991,rightSide
-0.003174,0.98584,-0.015991,rightSide
-0.003662,0.981934,-0.014526,rightSide
-0.003662,0.981934,-0.014526,rightSide
-0.003662,0.981934,-0.014526,rightSide
-0.003662,0.981934,-0.014526,rightSide
-0.003662,0.981934,-0.014526,rightSide
-0.003662,0.981934,-0.014526,rightSide
-0.003662,0.981934,-0.014526,rightSide
-0.003662,0.981934,-0.014526,rightSide
-0.002563,0.986572,-0.016968,rightSide
-0.002563,0.986572,-0.016968,rightSide
-0.002563,0.986572,-0.016968,rightSide
-0.002563,0.986572,-0.016968,rightSide
-0.002563,0.986572,-0.016968,rightSide
-0.002563,0.986572,-0.016968,rightSide
-0.002563,0.986572,-0.016968,rightSide
-0.002563,0.986572,-0.016968,rightSide
-0.003052,0.986938,-0.014282,rightSide
-0.003052,0.986938,-0.014282,rightSide
-0.003052,0.986938,-0.014282,rightSide
-0.003052,0.986938,-0.014282,rightSide
-0.003052,0.986938,-0.014282,rightSide
-0.003052,0.986938,-0.014282,rightSide
-0.003052,0.986938,-0.014282,rightSide
-0.005371,0.983276,-0.018188,rightSide
-0.005371,0.983276,-0.018188,rightSide
-0.005371,0.983276,-0.018188,rightSide
-0.005371,0.983276,-0.018188,rightSide
-0.005371,0.983276,-0.018188,rightSide
-0.005371,0.983276,-0.018188,rightSide
-0.005371,0.983276,-0.018188,rightSide
-0.005371,0.983276,-0.018188,rightSide
-0.005615,0.981201,-0.022217,rightSide
-0.005615,0.981201,-0.022217,rightSide
-0.005615,0.981201,-0.022217,rightSide
-0.005615,0.981201,-0.022217,rightSide
-0.005615,0.981201,-0.022217,rightSide
-0.005615,0.981201,-0.022217,rightSide
-0.005615,0.981201,-0.022217,rightSide
-0.005981,0.984253,-0.02417,rightSide
-0.005981,0.984253,-0.02417,rightSide
-0.005981,0.984253,-0.02417,rightSide
-0.005981,0.984253,-0.02417,rightSide
-0.005981,0.984253,-0.02417,rightSide
-0.005981,0.984253,-0.02417,rightSide
-0.005981,0.984253,-0.02417,rightSide
-0.005981,0.984253,-0.02417,rightSide
-0.00708,0.987915,-0.027588,rightSide
-0.00708,0.987915,-0.027588,rightSide
-0.00708,0.987915,-0.027588,rightSide
-0.00708,0.987915,-0.027588,rightSide
-0.00708,0.987915,-0.027588,rightSide
-0.00708,0.987915,-0.027588,rightSide
-0.00708,0.987915,-0.027588,rightSide
-0.00708,0.987915,-0.027588,rightSide
-0.005737,0.988403,-0.029297,rightSide
-0.005737,0.988403,-0.029297,rightSide
-0.005737,0.988403,-0.029297,rightSide
-0.005737,0.988403,-0.029297,rightSide
-0.005737,0.988403,-0.029297,rightSide
-0.005737,0.988403,-0.029297,rightSide
-0.005737,0.988403,-0.029297,rightSide
-0.004517,0.987427,-0.02832,rightSide
-0.004517,0.987427,-0.02832,rightSide
-0.004517,0.987427,-0.02832,rightSide
-0.004517,0.987427,-0.02832,rightSide
-0.004517,0.987427,-0.02832,rightSide
-0.004517,0.987427,-0.02832,rightSide
-0.004517,0.987427,-0.02832,rightSide
-0.004517,0.987427,-0.02832,rightSide
-0.003662,0.988525,-0.028198,rightSide
-0.003662,0.988525,-0.028198,rightSide
-0.003662,0.988525,-0.028198,rightSide
-0.003662,0.988525,-0.028198,rightSide
-0.003662,0.988525,-0.028198,rightSide
-0.003662,0.988525,-0.028198,rightSide
-0.003662,0.988525,-0.028198,rightSide
-0.003662,0.988525,-0.028198,rightSide
-0.005493,0.987793,-0.02832,rightSide
-0.005493,0.987793,-0.02832,rightSide
-0.005493,0.987793,-0.02832,rightSide
-0.005493,0.987793,-0.02832,rightSide
-0.005493,0.987793,-0.02832,rightSide
-0.005493,0.987793,-0.02832,rightSide
-0.005493,0.987793,-0.02832,rightSide
-0.004761,0.985596,-0.02832,rightSide
-0.004761,0.985596,-0.02832,rightSide
-0.004761,0.985596,-0.02832,rightSide
-0.004761,0.985596,-0.02832,rightSide
-0.004761,0.985596,-0.02832,rightSide
-0.004761,0.985596,-0.02832,rightSide
-0.004761,0.985596,-0.02832,rightSide
-0.004761,0.985596,-0.02832,rightSide
-0.002319,0.985352,-0.026611,rightSide
-0.002319,0.985352,-0.026611,rightSide
-0.002319,0.985352,-0.026611,rightSide
-0.002319,0.985352,-0.026611,rightSide
-0.002319,0.985352,-0.026611,rightSide
-0.002319,0.985352,-0.026611,rightSide
-0.002319,0.985352,-0.026611,rightSide
-0.003418,0.983887,-0.025513,rightSide
-0.003418,0.983887,-0.025513,rightSide
-0.003418,0.983887,-0.025513,rightSide
-0.003418,0.983887,-0.025513,rightSide
-0.003418,0.983887,-0.025513,rightSide
-0.003418,0.983887,-0.025513,rightSide
-0.003418,0.983887,-0.025513,rightSide
-0.003418,0.983887,-0.025513,rightSide
-0.004395,0.985596,-0.029419,rightSide
-0.004395,0.985596,-0.029419,rightSide
-0.004395,0.985596,-0.029419,rightSide
-0.004395,0.985596,-0.029419,rightSide
-0.004395,0.985596,-0.029419,rightSide
-0.004395,0.985596,-0.029419,rightSide
-0.004395,0.985596,-0.029419,rightSide
-0.004395,0.985596,-0.029419,rightSide
-0.005127,0.985962,-0.036133,rightSide
-0.005127,0.985962,-0.036133,rightSide
-0.005127,0.985962,-0.036133,rightSide
-0.005127,0.985962,-0.036133,rightSide
-0.005127,0.985962,-0.036133,rightSide
-0.005127,0.985962,-0.036133,rightSide
-0.005127,0.985962,-0.036133,rightSide
-0.005127,0.989502,-0.043457,rightSide
-0.005127,0.989502,-0.043457,rightSide
-0.005127,0.989502,-0.043457,rightSide
-0.005127,0.989502,-0.043457,rightSide
-0.005127,0.989502,-0.043457,rightSide
-0.005127,0.989502,-0.043457,rightSide
-0.005127,0.989502,-0.043457,rightSide
-0.005127,0.989502,-0.043457,rightSide
-0.005615,0.991211,-0.046265,rightSide
-0.005615,0.991211,-0.046265,rightSide
-0.005615,0.991211,-0.046265,rightSide
-0.005615,0.991211,-0.046265,rightSide
-0.005615,0.991211,-0.046265,rightSide
-0.005615,0.991211,-0.046265,rightSide
-0.005615,0.991211,-0.046265,rightSide
-0.005615,0.991211,-0.046265,rightSide
-0.006958,0.990234,-0.049927,rightSide
-0.006958,0.990234,-0.049927,rightSide
-0.006958,0.990234,-0.049927,rightSide
-0.006958,0.990234,-0.049927,rightSide
-0.006958,0.990234,-0.049927,rightSide
-0.006958,0.990234,-0.049927,rightSide
-0.006958,0.990234,-0.049927,rightSide
-0.004395,0.98877,-0.05249,rightSide
-0.004395,0.98877,-0.05249,rightSide
-0.004395,0.98877,-0.05249,rightSide
-0.004395,0.98877,-0.05249,rightSide
-0.004395,0.98877,-0.05249,rightSide
-0.004395,0.98877,-0.05249,rightSide
-0.004395,0.98877,-0.05249,rightSide
-0.004395,0.98877,-0.05249,rightSide
-0.004517,0.99292,-0.053467,rightSide
-0.004517,0.99292,-0.053467,rightSide
-0.004517,0.99292,-0.053467,rightSide
-0.004517,0.99292,-0.053467,rightSide
-0.004517,0.99292,-0.053467,rightSide
-0.004517,0.99292,-0.053467,rightSide
-0.004517,0.99292,-0.053467,rightSide
-0.005249,0.991943,-0.052734,rightSide
-0.005249,0.991943,-0.052734,rightSide
-0.005249,0.991943,-0.052734,rightSide
-0.005249,0.991943,-0.052734,rightSide
-0.005249,0.991943,-0.052734,rightSide
-0.005249,0.991943,-0.052734,rightSide
-0.005249,0.991943,-0.052734,rightSide
-0.005249,0.991943,-0.052734,rightSide
-0.006714,0.987305,-0.051758,rightSide
-0.006714,0.987305,-0.051758,rightSide
-0.006714,0.987305,-0.051758,rightSide
-0.006714,0.987305,-0.051758,rightSide
-0.006714,0.987305,-0.051758,rightSide
-0.006714,0.987305,-0.051758,rightSide
-0.006714,0.987305,-0.051758,rightSide
-0.006714,0.987305,-0.051758,rightSide
-0.006226,0.983643,-0.048706,rightSide
-0.006226,0.983643,-0.048706,rightSide
-0.006226,0.983643,-0.048706,rightSide
